frame,dt,N,areaSigned,areaAbs,targetArea,areaErr,perim,minEdge,maxEdge,avgEdge,flipped,selfIntersect,grabbed,dragInside,iters,areaStiff,edgeStiff,diagStiff,maxCorr,damping
115,0.016667,20,31179.486328,31179.486328,38276.382812,7096.896484,628.544128,31.427109,31.427332,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
116,0.016667,20,31179.484375,31179.484375,38276.382812,7096.898438,628.544006,31.427082,31.427330,31.427200,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
117,0.016667,20,31179.478516,31179.478516,38276.382812,7096.904297,628.543945,31.427109,31.427330,31.427197,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
118,0.016667,20,31179.474609,31179.474609,38276.382812,7096.908203,628.543945,31.427107,31.427328,31.427197,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
119,0.016667,20,31179.474609,31179.474609,38276.382812,7096.908203,628.543945,31.427099,31.427328,31.427197,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
120,0.016667,20,31179.480469,31179.480469,38276.382812,7096.902344,628.544006,31.427099,31.427355,31.427200,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
121,0.016667,20,31179.486328,31179.486328,38276.382812,7096.896484,628.544128,31.427080,31.427353,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
122,0.016667,20,31179.488281,31179.488281,38276.382812,7096.894531,628.544067,31.427080,31.427301,31.427204,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
123,0.016667,20,31179.490234,31179.490234,38276.382812,7096.892578,628.544128,31.427082,31.427322,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
124,0.016667,20,31179.490234,31179.490234,38276.382812,7096.892578,628.544067,31.427082,31.427322,31.427204,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
125,0.016667,20,31179.492188,31179.492188,38276.382812,7096.890625,628.544067,31.427084,31.427320,31.427204,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
126,0.016667,20,31179.496094,31179.496094,38276.382812,7096.886719,628.544128,31.427084,31.427349,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
127,0.016667,20,31179.496094,31179.496094,38276.382812,7096.886719,628.544128,31.427088,31.427345,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
128,0.016667,20,31179.496094,31179.496094,38276.382812,7096.886719,628.544189,31.427092,31.427299,31.427210,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
129,0.016667,20,31179.496094,31179.496094,38276.382812,7096.886719,628.544128,31.427092,31.427307,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
130,0.016667,20,31179.494141,31179.494141,38276.382812,7096.888672,628.544128,31.427078,31.427307,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
131,0.016667,20,31179.490234,31179.490234,38276.382812,7096.892578,628.544067,31.427078,31.427307,31.427204,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
132,0.016667,20,31179.488281,31179.488281,38276.382812,7096.894531,628.544006,31.427036,31.427307,31.427200,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
133,0.016667,20,31179.488281,31179.488281,38276.382812,7096.894531,628.544067,31.427036,31.427307,31.427204,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
134,0.016667,20,31179.492188,31179.492188,38276.382812,7096.890625,628.544189,31.427050,31.427307,31.427210,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
135,0.016667,20,31179.496094,31179.496094,38276.382812,7096.886719,628.544189,31.427063,31.427307,31.427210,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
136,0.016667,20,31179.503906,31179.503906,38276.382812,7096.878906,628.544189,31.427063,31.427307,31.427210,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
137,0.016667,20,31179.507812,31179.507812,38276.382812,7096.875000,628.544312,31.427063,31.427307,31.427216,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
138,0.016667,20,31179.511719,31179.511719,38276.382812,7096.871094,628.544312,31.427063,31.427307,31.427216,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
139,0.016667,20,31179.517578,31179.517578,38276.382812,7096.865234,628.544373,31.427063,31.427317,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
140,0.016667,20,31179.525391,31179.525391,38276.382812,7096.857422,628.544434,31.427063,31.427334,31.427221,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
