frame,mode,viseme,open,openT,wide,wideT,round,roundT,smile,smileT,width,height,area,areaT,fill,teeth
351,blob,B,0.3172,0.1000,0.4205,0.3000,0.0241,0.0000,0.6741,0.6500,115.83,32.85,2.39,3662.49,1,1
353,blob,B,0.2947,0.1000,0.4080,0.3000,0.0216,0.0000,0.6716,0.6500,114.93,30.99,18.40,3558.20,1,1
355,blob,B,0.2741,0.1000,0.3966,0.3000,0.0194,0.0000,0.6693,0.6500,114.10,29.29,12.22,3456.32,1,1
357,blob,B,0.2554,0.1000,0.3862,0.3000,0.0173,0.0000,0.6672,0.6500,113.34,27.75,9.74,3358.56,1,1
359,blob,B,0.2384,0.1000,0.3768,0.3000,0.0154,0.0000,0.6653,0.6500,112.64,26.37,9.78,3266.07,1,0
361,sprite_expr,X,0.2227,0.0500,0.3697,0.4500,0.0137,0.0000,0.6648,0.7800,0.00,0.00,0.00,3179.27,0,0
363,sprite_expr,X,0.2071,0.0500,0.3677,0.4500,0.0122,0.0000,0.6681,0.7800,0.00,0.00,0.00,3096.95,0,0
365,sprite_expr,X,0.1921,0.0500,0.3690,0.4500,0.0108,0.0000,0.6738,0.7800,0.00,0.00,0.00,3018.52,0,0
367,sprite_expr,X,0.1780,0.0500,0.3724,0.4500,0.0096,0.0000,0.6809,0.7800,0.00,0.00,0.00,2943.93,0,0
369,sprite_expr,X,0.1649,0.0500,0.3771,0.4500,0.0085,0.0000,0.6885,0.7800,0.00,0.00,0.00,2873.36,0,0
371,sprite_expr,X,0.1528,0.0500,0.3825,0.4500,0.0075,0.0000,0.6964,0.7800,0.00,0.00,0.00,2807.01,0,0
373,sprite_expr,X,0.1418,0.0500,0.3880,0.4500,0.0067,0.0000,0.7041,0.7800,0.00,0.00,0.00,2745.05,0,0
375,sprite_expr,X,0.1318,0.0500,0.3936,0.4500,0.0059,0.0000,0.7114,0.7800,0.00,0.00,0.00,2687.56,0,0
377,sprite_expr,X,0.1228,0.0500,0.3989,0.4500,0.0052,0.0000,0.7183,0.7800,0.00,0.00,0.00,2634.55,0,0
379,sprite_expr,X,0.1148,0.0500,0.4040,0.4500,0.0046,0.0000,0.7247,0.7800,0.00,0.00,0.00,2585.93,0,0
381,sprite_expr,X,0.1075,0.0500,0.4087,0.4500,0.0041,0.0000,0.7305,0.7800,0.00,0.00,0.00,2541.56,0,0
